"","INSTNM","Total","crime"
"2153","Brooklyn Law School",1151,0
"2154","SUNY Broome Community College",5624,3
"2155","Bryant & Stratton College-Amherst",282,0
"2156","Bryant & Stratton College-Syracuse North",258,0
"2157","Bryant & Stratton College-Syracuse",439,0
"2158","Bryant & Stratton College-Buffalo",491,0
"2159","Bryant & Stratton College-Greece",217,0
"2160","Canisius College",3464,9
"2161","Capri Cosmetology Learning Centers",245,1
"2162","St Paul's School of Nursing-Queens",582,0
"2163","Cayuga County Community College",3784,0
"2164","Cazenovia College",893,3
"2165","Central Yeshiva Tomchei Tmimim Lubavitz",544,0
"2166","Cheryl Fells School of Business",30,0
"2167","Christ the King Seminary",78,0
"2168","Christine Valmy International School for Esthetics, Skin Care & Makeup",387,0
"2169","Circle in the Square Theatre School",60,0
"2170","Clarkson University",4233,0
"2171","Clinton Community College",1547,6
"2172","Cochran School of Nursing",120,0
"2173","Colgate Rochester Crozer Divinity School",50,0
"2174","Colgate University",2894,24
"2175","Metropolitan College of New York",1113,0
"2176","Columbia University in the City of New York",30454,36
"2177","Columbia-Greene Community College",1620,0
"2178","Empire Beauty School-Queens",160,0
"2179","Concordia College-New York",1597,1
"2180","Continental School of Beauty Culture-Buffalo",39,1
"2181","Continental School of Beauty Culture-Batavia",26,0
"2182","Continental School of Beauty Culture-Rochester",322,0
"2183","Cooper Union for the Advancement of Science and Art",946,0
"2184","Cornell University",23016,49
"2185","Weill Cornell Medical College",1107,3
"2186","Corning Community College",3834,1
"2187","Pomeroy College of Nursing at Crouse Hospital",265,0
"2188","Culinary Institute of America",3131,14
"2189","CUNY Bernard M Baruch College",18289,3
"2190","CUNY Borough of Manhattan Community College",26932,1
"2191","CUNY Bronx Community College",10935,13
"2192","CUNY Brooklyn College",17803,1
"2193","College of Staten Island CUNY",13594,6
"2194","CUNY City College",16001,4
"2195","CUNY Graduate School and University Center",7674,0
"2196","CUNY Hostos Community College",7211,1
"2197","CUNY Hunter College",23005,2
"2198","CUNY John Jay College of Criminal Justice",14834,0
"2199","CUNY Kingsborough Community College",15034,1
"2200","CUNY LaGuardia Community College",19373,4
"2201","CUNY Lehman College",14130,3
"2202","CUNY Medgar Evers College",6652,1
"2203","CUNY New York City College of Technology",17279,1
"2204","CUNY Queens College",19866,15
"2205","CUNY Queensborough Community College",15400,4
"2206","CUNY School of Law",488,0
"2207","CUNY York College",8533,2
"2208","CVPH Medical Center School of Radiologic Technology",12,4
"2209","D'Youville College",3021,4
"2210","Daemen College",2635,5
"2211","Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary",33,0
"2212","Dominican College of Blauvelt",1954,2
"2213","Dutchess Community College",9061,6
"2214","Belanger School of Nursing",114,2
"2215","Elmira Business Institute",205,0
"2216","Elmira College",1012,12
"2217","Erie Community College",11135,0
"2218","Fashion Institute of Technology",8846,9
"2219","Finger Lakes Community College",6356,6
"2220","Five Towns College",670,1
"2221","Fordham University",16037,32
"2222","The International Culinary Center",462,0
"2223","Fulton-Montgomery Community College",2403,7
"2224","Gemological Institute of America-New York",164,0
"2225","The General Theological Seminary",45,0
"2226","Genesee Community College",5906,6
"2227","Hamilton College",1901,18
"2228","Hartwick College",1201,18
"2229","Helene Fuld College of Nursing",480,0
"2230","Herkimer County Community College",2632,2
"2231","Hilbert College",792,4
"2232","Hobart William Smith Colleges",2244,31
"2233","Hofstra University",11131,24
"2234","Houghton College",1043,4
"2235","Hudson Valley Community College",11020,2
"2236","Hunter Business School",1008,0
"2237","Iona College",3792,5
"2238","Isabella Graham Hart School of Practical Nursing",70,0
"2239","Island Drafting and Technical Institute",90,0
"2240","Ithaca College",6516,21
"2241","Jamestown Community College",4463,7
"2242","Jamestown Business College",323,0
"2243","Jefferson Community College",3460,5
"2244","Jewish Theological Seminary of America",368,0
"2245","The Juilliard School",927,1
"2246","Kehilath Yakov Rabbinical Seminary",159,0
"2247","Keuka College",1953,8
"2248","LIM College",1713,0
"2249","Le Moyne College",3431,12
"2250","LIU Brooklyn",6982,18
"2251","LIU Post",8499,10
"2252","Long Island Beauty School-Hempstead",93,0
"2253","Long Island Business Institute",717,0
"2254","LIU Brentwood",165,0
"2255","Machzikei Hadath Rabbinical College",146,0
"2256","Mandl School-The College of Allied Health",598,0
"2257","Manhattan College",4242,13
"2258","Manhattan School of Music",1007,6
"2259","Manhattanville College",2690,15
"2260","Maria College of Albany",855,0
"2261","Marion S Whelan School of Nursing of Geneva General Hospital",31,0
"2262","Marist College",6657,12
"2263","Marymount Manhattan College",2150,0
"2264","Medaille College",2198,0
"2265","Memorial College of Nursing",124,5
"2266","Memorial Hospital School of Radiation Therapy Technology",14,0
"2267","Mercy College",9506,3
"2268","Mesivta Torah Vodaath Rabbinical Seminary",366,0
"2269","Mesivta of Eastern Parkway-Yeshiva Zichron Meilech",32,0
"2270","Mesivtha Tifereth Jerusalem of America",69,0
"2271","Southern Westchester BOCES-Practical Nursing Program",121,1
"2272","Midway Paris Beauty School",125,0
"2273","Mildred Elley School-Albany Campus",521,1
"2274","Mirrer Yeshiva Cent Institute",183,0
"2275","Modern Welding School",98,0
"2276","Mohawk Valley Community College",6506,13
"2277","Molloy College",4980,0
"2278","Monroe College",6310,30
"2279","Monroe Community College",12907,13
"2280","Mount Saint Mary College",2365,18
"2281","College of Mount Saint Vincent",1910,8
"2282","Icahn School of Medicine at Mount Sinai",1208,0
"2283","Nassau Community College",19059,7
"2284","Nazareth College",2900,19
"2285","Neighborhood Playhouse School of the Theater",98,0
"2286","The College of New Rochelle",3234,0
"2287","The New School",10389,9
"2288","New School of Radio and Television",48,0
"2289","New York Chiropractic College",926,0
"2290","New York Law School",995,0
"2291","New York Medical College",1498,0
"2292","New York School for Medical and Dental Assistants",373,1
"2293","New York Theological Seminary",359,0
"2294","New York University",51123,109
"2295","Niagara County Community College",5439,8
"2296","Niagara University",3949,7
"2297","Empire Beauty School-Peekskill",33,0
"2298","North Country Community College",2006,0
"2299","New York College of Podiatric Medicine",396,0
"2300","New York Institute of Technology",7403,7
"2301","New York School of Interior Design",541,0
"2302","Nyack College",2455,1
"2303","Ohr Hameir Theological Seminary",101,0
"2304","Onondaga Community College",10659,23
"2305","Orange County Community College",6601,0
"2306","Otsego Area BOCES-Practical Nursing Program",37,0
"2307","Pace University-New York",12986,10
"2308","Paul Smiths College of Arts and Science",771,4
"2309","Continental School of Beauty Culture-West Seneca",117,0
"2310","Plaza College",909,0
"2311","Davis College",288,0
"2312","Pratt Institute-Main",5035,5
"2313","Rabbinical Academy Mesivta Rabbi Chaim Berlin",290,0
"2314","Rabbinical College Bobover Yeshiva Bnei Zion",342,0
"2315","Rabbinical College Beth Shraga",39,0
"2316","Rabbinical College of Long Island",143,0
"2317","Rabbinical Seminary of America",454,0
"2318","Rensselaer Polytechnic Institute",7592,21
"2319","Roberts Wesleyan College",1740,7
"2320","Rochester Institute of Technology",16584,33
"2321","University of Rochester",11648,31
"2322","Rockland Community College",6950,0
"2323","Empire Beauty School-Manhattan",481,1
"2324","The Sage Colleges",2525,6
"2325","St Bernard's School of Theology and Ministry",77,0
"2326","St Bonaventure University",2084,14
"2327","St Francis College",2362,5
"2328","St Joseph's College of Nursing at St Joseph's Hospital Health Center",298,1
"2329","St Lawrence University",2493,15
"2330","The College of Saint Rose",3929,2
"2331","St. Thomas Aquinas College",1915,1
"2332","Samaritan Hospital School of Nursing",144,0
"2333","Sarah Lawrence College",1696,12
"2334","Schenectady County Community College",6588,0
"2335","Sh'or Yoshuv Rabbinical College",144,0
"2336","Siena College",3226,15
"2337","Skidmore College",2684,36
"2338","St. Joseph's College-New York",1176,0
"2339","St. Joseph's College-Long Island",3966,0
"2340","Saint Vladimirs Orthodox Theological Seminary",89,0
"2341","Saint Elizabeth College of Nursing",202,0
"2342","Saint John Fisher College",3776,3
"2343","St Paul's School of Nursing-Staten Island",532,0
"2344","St John's University-New York",21340,12
"2345","Branford Hall Career Institute-Bohemia Campus",265,0
"2346","Sullivan County Community College",1565,0
"2347","SUNY College of Technology at Alfred",3686,11
"2348","SUNY College of Technology at Canton",3180,9
"2349","SUNY College of Technology at Delhi",3511,4
"2350","SUNY College of Agriculture and Technology at Cobleskill",2291,20
"2351","Farmingdale State College",9574,5
"2352","Morrisville State College",3063,9
"2353","SUNY at Albany",17743,67
"2354","Binghamton University",17351,31
"2355","University at Buffalo",30648,55
"2356","Stony Brook University",25989,68
"2357","SUNY College of Environmental Science and Forestry",2213,2
"2358","SUNY Polytechnic Institute",2912,3
"2359","SUNY College at Brockport",8313,13
"2360","SUNY Buffalo State",9516,45
"2361","SUNY Cortland",6913,28
"2362","SUNY at Fredonia",4630,17
"2363","SUNY College at Geneseo",5652,9
"2364","State University of New York at New Paltz",7565,12
"2365","SUNY Oneonta",6358,13
"2366","SUNY College at Oswego",8026,25
"2367","SUNY College at Potsdam",3587,7
"2368","SUNY at Purchase College",4167,19
"2369","SUNY College of Optometry",413,0
"2370","SUNY College at Old Westbury",4910,6
"2371","SUNY College at Plattsburgh",5719,17
"2372","SUNY Downstate Medical Center",1792,0
"2373","SUNY Empire State College",10977,0
"2374","SUNY Maritime College",1794,10
"2375","Upstate Medical University",1484,19
"2376","Swedish Institute a College of Health Sciences",733,0
"2377","Syracuse University",22484,51
"2378","Talmudical Seminary Oholei Torah",300,0
"2379","Talmudical Institute of Upstate New York",16,0
"2380","Teachers College at Columbia University",4701,0
"2381","Tompkins Cortland Community College",2632,3
"2382","Torah Temimah Talmudical Seminary",66,0
"2383","Touro College",11908,0
"2384","Trocaire College",1399,0
"2385","Excelsior College",34022,0
"2386","Ulster County Community College",3560,0
"2387","Union College",2267,12
"2388","Union Theological Seminary in the City of New York",217,1
"2389","United Talmudical Seminary",2722,0
"2390","United States Merchant Marine Academy",975,7
"2391","Utica College",5258,0
"2392","Vassar College",2353,47
"2393","Villa Maria College",596,1
"2394","School of Visual Arts",4393,3
"2395","Wagner College",2271,14
"2396","Webb Institute",98,0
"2397","Wells College",488,37
"2398","The College of Westchester",916,0
"2399","SUNY Westchester Community College",12571,0
"2400","Westchester School of Beauty Culture",78,0
"2401","Word of Life Bible Institute",522,0
"2402","Yeshiva Karlin Stolin",151,0
"2403","Yeshiva Derech Chaim",138,0
"2404","Yeshiva of Nitra Rabbinical College",209,0
"2405","Yeshiva Shaar Hatorah",111,7
"2406","Yeshiva University",6330,9
"2407","Yeshivath Viznitz",690,0
"2408","Yeshivath Zichron Moshe",199,0
"2409","College of the Albemarle",2507,0
"2410","The Art Institute of Charlotte",451,0
"2411","South Piedmont Community College",2980,1
"2412","Appalachian State University",18811,20
"2413","Asheville-Buncombe Technical Community College",7262,0
"2414","Barton College",960,1
"2415","Beaufort County Community College",1500,0
"2416","Belmont Abbey College",1555,8
"2417","Bennett College",493,0
"2418","Bladen Community College",1141,4
"2419","Blue Ridge Community College",2122,1
"2420","Brevard College",677,11
"2421","Brunswick Community College",1425,1
"2422","Cabarrus College of Health Sciences",453,0
"2423","Caldwell Community College and Technical Institute",3495,0
"2424","Campbell University",6604,12
"2425","Cape Fear Community College",8317,1
"2426","Carolina School of Broadcasting",64,0
"2427","Carteret Community College",1536,0
"2428","Catawba College",1336,9
"2429","Catawba Valley Community College",4827,2
"2430","Central Carolina Community College",5188,1
"2431","Central Piedmont Community College",19100,9
"2432","Chowan University",1503,23
"2433","Cleveland Community College",2700,0
"2434","Coastal Carolina Community College",4030,2
"2435","Craven Community College",3021,0
"2436","Davidson County Community College",3627,1
