"College","Admission.Rate","ACT.score","SAT.score","Female.Proportion","Married","Tuition.Fee.in.state","Tuition.Fee.out.state","Website","Region","State","City","City.size","Control","Highest.Degree","Rank","Unemployment.Rate","Mean.Earnings.Students","Mean.Earnings.Female.Students","Mean.Earnings.Male.Students","Share.of.Students.Earning.over..25.000.year","Crime"
"Charles H McCann Technical School","NULL","NULL","NULL","PrivacySuppressed","0.2244897959","NULL","NULL","www.mccanntech.org","New England","MA","North Adams","Rural","Public","Certificate degree","Rank over 230",1.55,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Charles of Italy Beauty College","NULL","NULL","NULL","PrivacySuppressed","0.25","NULL","NULL","www.charlesofitaly.edu","Southwest","AZ","Lake Havasu City","City","Private for profit","Certificate degree","Rank over 230",1.39,"22600","PrivacySuppressed","PrivacySuppressed","0.21",0
"Charles R Drew University of Medicine and Science","0.25","NULL","NULL","0.6774193548","0.0967741935","13444","13444","www.cdrewu.edu","Far West","CA","Los Angeles","Suburb","Private nonprofit","Graduate degree","Rank over 230",3.47,"82700","68700","99200","0.771",1
"Charles Stuart School of Diamond Setting","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","charlesstuartschool.com","Mid East","NY","Brooklyn","City","Private for profit","Certificate degree","Rank over 230",3.83,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Charleston Cosmetology Institute","NULL","NULL","NULL","PrivacySuppressed","0.1751824818","NULL","NULL","www.charlestoncosmetology.com","Southeast","SC","Charleston","Suburb","Private for profit","Certificate degree","Rank over 230",1.37,"24400","PrivacySuppressed","PrivacySuppressed","0.397",0
"Charleston School of Beauty Culture","NULL","NULL","NULL","0.6780821918","0.1506849315","NULL","NULL","charlestonschoolofbeautyculture.com","Southeast","WV","Charleston","City","Private for profit","Certificate degree","Rank over 230",1.85,"19600","PrivacySuppressed","PrivacySuppressed","0.265",0
"Charleston School of Law","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.charlestonlaw.edu/","Southeast","SC","Charleston","City","Private for profit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",2
"Charleston Southern University","0.606","22","1021","0.6288776086","0.0919345742","24140","24140","www.csuniv.edu","Southeast","SC","Charleston","City","Private nonprofit","Graduate degree","Rank over 230",1.52,"40600","35300","47300","0.709",8
"Charlie's Guard-Detective Bureau and Academy Inc","NULL","NULL","NULL","0.4455445545","0.1584158416","NULL","NULL","www.charliesacademy.edu","Outlying Areas","PR","Aguadilla","Suburb","Private for profit","Certificate degree","Rank over 230",5.53,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Charlotte Christian College and Theological Seminary","NULL","NULL","NULL","0.5689655172","0.4310344828","9680","9680","www.charlottechristian.edu","Southeast","NC","Charlotte","City","Private nonprofit","Graduate degree","Rank over 230",1.92,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Charlotte Technical College","NULL","NULL","NULL","0.7851851852","0.1777777778","2909","11365","www.charlottetechcollege.net","Southeast","FL","Port Charlotte","Suburb","Public","Certificate degree","Rank over 230",0.03,"33700","PrivacySuppressed","PrivacySuppressed","0.524",0
"Charter College","NULL","NULL","NULL","0.7612694562","0.2415605417","21887","21887","www.chartercollege.edu","Far West","WA","Vancouver","City","Private for profit","Graduate degree","Rank over 230",3.08,"46400","40500","55000","0.691",0
"Charter Oak State College","NULL","NULL","NULL","0.7565698479","0.3347164592","7671","10029","www.charteroak.edu","New England","CT","New Britain","Suburb","Public","Bachelor's degree","Rank over 230",1.88,"43700","39400","56300","0.729",NA
"Charzanne Beauty College","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","charzannebeautycollege.com","Southeast","SC","Greenwood","Town","Private for profit","Certificate degree","Rank over 230",2.22,"20100","PrivacySuppressed","PrivacySuppressed","0.357",0
"Chatfield College","NULL","NULL","NULL","0.7673469388","0.0775510204","10523","10523","www.chatfield.edu","Great Lakes","OH","Saint Martin","Rural","Private nonprofit","Associate degree","Rank over 230",2.27,"26000","PrivacySuppressed","PrivacySuppressed","0.455",0
"Chatham University","0.5275","NULL","NULL","0.7508833922","0.0759717314","35475","35475","www.chatham.edu","Mid East","PA","Pittsburgh","City","Private nonprofit","Graduate degree","Rank over 230",1.49,"43400","PrivacySuppressed","PrivacySuppressed","0.66",3
"Chattahoochee Technical College","NULL","NULL","NULL","0.6254627725","0.1402714932","2746","4882","www.chattahoocheetech.edu","Southeast","GA","Marietta","Suburb","Public","Associate degree","Rank over 230",1.31,"31700","29200","36100","0.553",0
"Chattahoochee Valley Community College","NULL","NULL","NULL","0.611965812","0.1905982906","4254","7764","www.cv.edu","Southeast","AL","Phenix City","Rural","Public","Associate degree","Rank over 230",1.76,"31300","28600","36700","0.533",0
"Chattanooga College Medical Dental and Technical Careers","NULL","NULL","NULL","0.8064516129","0.2551319648","10690","10690","www.chattanoogacollege.edu","Southeast","TN","Chattanooga","City","Private for profit","Associate degree","Rank over 230",1.71,"24500","PrivacySuppressed","PrivacySuppressed","0.464",0
"Chattanooga State Community College","NULL","NULL","NULL","0.5583596215","0.1220425868","4063","15727","www.chattanoogastate.edu","Southeast","TN","Chattanooga","City","Public","Associate degree","Rank over 230",1.62,"33200","29900","38900","0.568",3
"Cheeks International Academy of Beauty Culture-Cheyenne","NULL","NULL","NULL","0.9107142857","0.1785714286","NULL","NULL","www.cheeksusa.com","Rocky Mountains","WY","Cheyenne","City","Private for profit","Certificate degree","Rank over 230",1.96,"19400","PrivacySuppressed","PrivacySuppressed","0.278",0
"Cheeks International Academy of Beauty Culture-Fort Collins","NULL","NULL","NULL","0.9107142857","0.1785714286","NULL","NULL","cheeksUSA.com","Rocky Mountains","CO","Loveland","Suburb","Private for profit","Certificate degree","Rank over 230",1.96,"19400","PrivacySuppressed","PrivacySuppressed","0.278",0
"Chemeketa Community College","NULL","NULL","NULL","0.5684655658","0.1399516714","4230","11520","www.chemeketa.edu","Far West","OR","Salem","Suburb","Public","Associate degree","Rank over 230",2.82,"35600","30700","42700","0.61",11
"Cheryl Fells School of Business","NULL","NULL","NULL","0.5","PrivacySuppressed","NULL","NULL","www.cherylfell.edu","Mid East","NY","Niagara Falls","Suburb","Private for profit","Certificate degree","Rank over 230",3.29,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Chesapeake College","NULL","NULL","NULL","0.6782178218","0.0878712871","3820","7360","www.chesapeake.edu","Mid East","MD","Wye Mills","Rural","Public","Associate degree","Rank over 230",1.1,"31200","30400","33500","0.547",0
"Chester Career College","NULL","NULL","NULL","PrivacySuppressed","0.1885245902","NULL","NULL","chestercareercollege.edu/","Southeast","VA","CHESTER","Suburb","Private for profit","Associate degree","Rank over 230",1.77,"32200","PrivacySuppressed","PrivacySuppressed","0.585",0
"Chester County Intermediate Unit","0.878","NULL","NULL","PrivacySuppressed","0.232","NULL","NULL","www.chestercountynursing.org","Mid East","PA","Downingtown","Suburb","Public","Certificate degree","Rank over 230",1.14,"43100","PrivacySuppressed","PrivacySuppressed","0.707",0
"Chestnut Hill College","0.6447","19","951","0.6711111111","0.0777777778","34140","34140","www.chc.edu","Mid East","PA","Philadelphia","City","Private nonprofit","Graduate degree","Rank over 230",2.79,"46800","44900","50800","0.772",2
"Cheyney University of Pennsylvania","NULL","NULL","NULL","0.4569892473","PrivacySuppressed","11356","17452","www.cheyney.edu","Mid East","PA","Cheyney","Suburb","Public","Graduate degree","Rank over 230",4.17,"31600","30200","32900","0.568",11
"CHI Health School of Radiologic Technology","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.chihealth.com/school-of-radiologic-technology","Plains","NE","Omaha","City","Private nonprofit","Associate degree","Rank over 230",1.09,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"Chicago ORT Technical Institute","NULL","NULL","NULL","0.6055900621","0.4565217391","NULL","NULL","www.ortchicagotech.edu","Great Lakes","IL","Skokie","City","Private nonprofit","Associate degree","Rank over 230",2.62,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",NA
"Chicago State University","0.5788","18","883","0.7038191738","0.075604053","10252","17212","www.csu.edu","Great Lakes","IL","Chicago","City","Public","Graduate degree","Rank over 230",4.98,"38200","35800","44400","0.661",2
"Chicago Theological Seminary","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","https://www.ctschicago.edu","Great Lakes","IL","Chicago","City","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Chief Dull Knife College","NULL","NULL","NULL","0.5172413793","0.1379310345","2260","2260","cdkc.edu","Rocky Mountains","MT","Lame Deer","Rural","Public","Associate degree","Rank over 230",5.56,"22100","PrivacySuppressed","PrivacySuppressed","0.353",1
"Chipola College","NULL","NULL","NULL","0.6189839572","0.1390374332","3120","8950","www.chipola.edu","Southeast","FL","Marianna","Town","Public","Bachelor's degree","Rank over 230",1.36,"33600","30300","38600","0.583",0
"Chippewa Valley Technical College","NULL","NULL","NULL","0.54796859","0.1324684193","4238","6218","www.cvtc.edu","Great Lakes","WI","Eau Claire","City","Public","Associate degree","Rank over 230",1.55,"38300","33600","44900","0.676",0
"Chisholm Trail Technology Center","NULL","NULL","NULL","0.7027027027","PrivacySuppressed","NULL","NULL","www.cttc.edu","Southwest","OK","Omega","Rural","Public","Certificate degree","Rank over 230",0.74,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Choffin Career  and Technical Center","NULL","NULL","NULL","0.896","0.216","8200","8200","www.choffincareer.com","Great Lakes","OH","Youngstown","City","Public","Certificate degree","Rank over 230",2.13,"32500","PrivacySuppressed","PrivacySuppressed","0.592",0
"Chowan University","0.5697","16","789","0.5121555916","0.017828201","23930","23930","https://www.chowan.edu/","Southeast","NC","Murfreesboro","Town","Private nonprofit","Bachelor's degree","Rank over 230",1.51,"36200","34200","37200","0.676",23
"Chris Beauty College","NULL","NULL","NULL","0.8705882353","0.1764705882","NULL","NULL","www.chrisbeautycollege.edu","Southeast","MS","Gulfport","City","Private for profit","Certificate degree","Rank over 230",1.95,"21300","PrivacySuppressed","PrivacySuppressed","0.276",0
"Christ the King Seminary","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.cks.edu","Mid East","NY","East Aurora","Rural","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Christian Brothers University","0.5224","25","1125","0.5854037267","0.0931677019","30860","30860","https://www.cbu.edu","Southeast","TN","Memphis","City","Private nonprofit","Graduate degree","Rank over 230",1.98,"50000","44300","58500","0.772",5
"Christian Life College","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","11000","11000","www.christianlifecollege.edu","Great Lakes","IL","Mount Prospect","Suburb","Private nonprofit","Bachelor's degree","Rank over 230",1.03,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Christian Theological Seminary","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.cts.edu","Great Lakes","IN","Indianapolis","City","Private nonprofit","Graduate degree","Rank over 230",NA,"NULL","NULL","NULL","NULL",0
"Christie's Education","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.christies.edu","Mid East","NY","New York","City","Private for profit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Christine Valmy International School for Esthetics Skin Care & Makeup","NULL","NULL","NULL","0.9707865169","0.2247191011","NULL","NULL","www.christinevalmy.com","Mid East","NY","New York","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",NA
"Christine Valmy International School of Esthetics & Cosmetology","NULL","NULL","NULL","PrivacySuppressed","0.3111111111","NULL","NULL","www.christinevalmy.com","Mid East","NJ","Pine Brook","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Christopher Newport University","0.6216","26","1158","0.5952380952","PrivacySuppressed","13054","24680","cnu.edu/","Southeast","VA","Newport News","City","Public","Graduate degree","Rank over 230",0.51,"52000","46300","58100","0.817",42
"Church Divinity School of the Pacific","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.cdsp.edu","Far West","CA","Berkeley","City","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",1
"Cincinnati Christian University","0.9241","20","945","0.3203883495","0.0582524272","16414","16414","www.CCUniversity.edu","Great Lakes","OH","Cincinnati","City","Private nonprofit","Graduate degree","Rank over 230",1.03,"36800","27500","43500","0.667",4
"Cincinnati College of Mortuary Science","NULL","NULL","NULL","0.6666666667","0.15625","20025","20025","WWW.CCMS.EDU","Great Lakes","OH","Cincinnati","Suburb","Private nonprofit","Bachelor's degree","Rank over 230",1.51,"43500","34000","52500","0.752",0
"Cincinnati State Technical and Community College","NULL","NULL","NULL","0.5860969388","0.1356292517","3825","7393","www.cincinnatistate.edu","Great Lakes","OH","Cincinnati","City","Public","Associate degree","Rank over 230",1.7,"35300","32100","40000","0.59",0
"Cinta Aveda Institute","NULL","NULL","NULL","0.8396946565","0.096692112","NULL","NULL","www.cintaaveda.edu","Far West","CA","San Francisco","City","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",8
"Circle in the Square Theatre School","0.5","NULL","NULL","0.5675675676","PrivacySuppressed","17040","17040","www.circlesquare.org","Mid East","NY","New York","City","Private nonprofit","Certificate degree","Rank over 230",1.75,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Cisco College","NULL","NULL","NULL","0.5616438356","0.1739130435","3810","4710","www.cisco.edu","Southwest","TX","Cisco","Town","Public","Associate degree","Rank over 230",2.3,"34600","29700","41300","0.605",2
"Citadel Military College of South Carolina","0.8229","23","1052","0.1184336199","0.0744985673","11734","32812","www.citadel.edu","Southeast","SC","Charleston","City","Public","Graduate degree","Rank over 230",1.13,"59600","PrivacySuppressed","PrivacySuppressed","0.85",11
"Citizens School of Nursing","0","NULL","NULL","0.9056603774","0.2012578616","NULL","NULL","www.wpahs.org/education/citizens-school-nursing","Mid East","PA","New Kensington","Suburb","Private nonprofit","Certificate degree","Rank over 230",1.1,"59600","PrivacySuppressed","PrivacySuppressed","0.873",0
